SEQN,RIAGENDR,RIDAGEYR,RIDRETH1,RIDEXPRG,SIALANG
62161,1,22,3,,1
62162,2,3,1,,1
62163,1,14,5,,1
62164,2,44,3,2,1
62165,2,14,4,,1
62166,1,9,3,,1
62167,1,0,5,,1
62168,1,6,5,,1
62169,1,21,5,,1
62170,1,15,5,,1
62171,1,14,1,,1
62172,2,43,4,2,1
62173,2,2,1,,2
62174,1,80,3,,1
62175,1,5,3,,1
62176,2,34,3,2,1
62177,1,51,5,,1
62178,1,80,3,,1
62179,1,55,5,,1
62180,1,35,3,,1
62181,1,9,1,,2
62182,1,75,3,,1
62183,1,6,4,,1
62184,1,26,4,,1
62185,1,16,1,,2
62186,2,17,4,,1
62187,2,9,1,,2
62188,1,2,2,,2
62189,2,30,5,2,1
62190,2,15,1,,2
62191,1,70,4,,1
62192,2,11,1,,1
62193,1,17,4,,1
62194,2,9,3,,1
62195,1,35,4,,1
62196,1,1,3,,1
62197,2,16,4,,1
62198,1,7,3,,1
62199,1,57,3,,1
62200,1,42,5,,1
62201,2,58,5,,1
62202,1,36,1,,1
62203,1,8,4,,1
62204,2,9,5,,1
62205,1,28,3,,1
62206,2,35,3,2,1
62207,1,0,4,,1
62208,1,38,2,,2
62209,2,62,1,,2
62210,1,15,3,,1
62211,2,63,1,,2
62212,2,8,4,,1
62213,1,2,4,,1
62214,2,22,4,2,1
62215,2,65,3,,1
62216,1,0,3,,1
62217,2,77,1,,1
62218,2,38,4,3,1
62219,2,2,1,,1
62220,2,31,4,2,1
62221,2,41,4,2,1
62222,1,32,3,,1
62223,1,54,5,,1
62224,2,29,2,2,2
62225,2,13,1,,1
62226,1,80,2,,2
62227,1,19,3,,1
62228,1,50,3,,1
62229,2,31,3,2,1
62230,1,75,3,,1
62231,2,48,1,,1
62232,2,42,3,2,1
62233,2,63,1,,1
62234,1,23,4,,1
62235,2,2,3,,1
62236,1,61,5,,1
62237,2,58,3,,1
62238,2,0,3,,1
62239,2,22,2,2,2
62240,2,14,2,,1
62241,1,2,2,,1
62242,1,24,3,,1
62243,2,1,3,,1
62244,1,1,1,,1
62245,1,8,5,,1
62246,2,0,1,,2
62247,2,0,4,,1
62248,1,65,5,,1
62249,2,26,3,2,1
62250,1,34,1,,1
62251,2,51,5,,1
62252,2,11,1,,1
62253,1,18,3,,1
62254,1,14,4,,1
62255,1,65,3,,1
62256,1,80,3,,1
62257,2,2,1,,2
62258,1,47,2,,2
62259,1,61,4,,1
62260,1,10,3,,1
62261,1,47,2,,1
62262,2,0,2,,2
62263,1,2,3,,1
62264,1,77,3,,1
62265,1,52,3,,1
62266,1,64,3,,1
62267,2,27,3,2,1
62268,2,15,1,,2
62269,1,29,4,,1
62270,2,33,2,2,2
62271,1,7,4,,1
62272,1,9,2,,2
62273,2,15,5,,1
62274,1,2,4,,1
62275,2,41,5,2,1
62276,1,9,3,,1
62277,2,55,3,,1
62278,2,72,3,,1
62279,1,80,4,,1
62280,2,54,4,,1
62281,2,13,4,,1
62282,2,57,4,,1
62283,1,2,1,,1
62284,2,64,3,,1
62285,2,17,3,,1
62286,1,30,4,,1
62287,2,73,4,,1
62288,1,29,3,,1
62289,1,71,5,,1
62290,2,2,4,,1
62291,1,56,5,,1
62292,1,80,3,,1
62293,1,67,3,,1
62294,1,9,2,,2
62295,2,69,2,,1
62296,1,19,4,,1
62297,1,43,4,,1
62298,1,15,3,,1
62299,1,8,5,,1
62300,2,6,4,,1
62301,1,23,4,,1
62302,2,51,2,,2
62303,2,76,3,,1
62304,2,6,1,,2
62305,1,10,1,,2
62306,1,0,2,,1
62307,1,61,4,,1
62308,2,78,3,,1
62309,2,47,1,,2
62310,2,8,4,,1
62311,1,18,3,,1
62312,2,63,1,,2
62313,1,7,1,,1
62314,1,61,4,,1
62315,2,80,4,,1
62316,1,39,2,,1
62317,1,46,3,,1
62318,2,0,3,,1
62319,2,4,4,,1
62320,2,64,3,,1
62321,2,8,5,,1
62322,2,4,4,,1
62323,2,2,4,,1
62324,2,60,1,,2
62325,2,43,4,2,1
62326,1,69,3,,1
62327,2,19,4,,1
62328,2,9,4,,1
62329,1,2,2,,2
62330,2,33,5,2,1
62331,1,9,5,,1
62332,1,22,3,,1
62333,2,45,5,,1
62334,1,9,3,,1
62335,1,14,2,,1
62336,1,55,2,,2
62337,2,10,1,,2
62338,2,2,1,,1
62339,1,29,3,,1
62340,1,44,3,,1
62341,1,8,1,,1
62342,2,38,3,2,1
62343,1,28,4,,1
62344,2,32,4,3,1
62345,2,38,3,2,1
62346,1,19,5,,1
62347,2,71,3,,1
62348,2,19,4,,1
62349,2,23,3,2,1
62350,2,43,3,2,1
62351,1,7,3,,1
62352,2,3,4,,1
62353,1,80,3,,1
62354,2,11,3,,1
62355,2,16,5,,1
62356,2,14,1,,1
62357,1,36,3,,1
62358,2,0,1,,1
62359,2,54,1,,2
62360,1,17,4,,1
62361,1,7,4,,1
62362,2,11,4,,1
62363,2,44,3,2,1
62364,2,4,1,,1
62365,2,37,5,2,1
62366,1,80,3,,1
62367,1,50,5,,1
62368,2,80,2,,1
62369,2,8,2,,2
62370,1,21,5,,1
62371,1,32,5,,1
62372,2,55,5,,1
62373,1,46,1,,2
62374,2,31,3,2,1
62375,1,24,1,,1
62376,1,6,4,,1
62377,2,78,3,,1
62378,2,68,2,,2
62379,1,40,5,,1
62380,1,16,1,,2
62381,1,21,4,,1
62382,2,1,4,,1
62383,1,23,3,,1
62384,1,40,3,,1
62385,1,0,4,,1
62386,1,35,5,,1
62387,1,23,4,,1
62388,2,69,3,,1
62389,2,16,5,,1
62390,2,25,5,2,1
62391,2,40,1,2,1
62392,2,1,1,,2
62393,1,20,1,,1
62394,1,1,1,,1
62395,2,1,1,,2
62396,1,10,1,,2
62397,2,70,1,,2
